district,period,year,quarter,date,price_sqm_sale,price_sqm_rental,log_price_sale,price_growth_qoq,price_growth_yoy,ine_transaction_count_national,ine_transaction_value_thousands_national,ine_price_value_index_national,ine_volume_index_national,mortgage_rate_fixed_pct_national,fdi_realestate_transactions_meur_national,fdi_realestate_stock_meur_national,fdi_total_stock_meur_national,construction_cost_yoy_growth_pct_national,population_national,unemployment_rate_pct_regional
lisboa,3T2023,2023,3,2023-07-01,3828.3333333333335,18.833333333333332,8.250184826455088,-0.005541605333795108,0.006926179203927907,34256.0,7072380.0,170.75092220163313,151.39267918107592,3.9966666666666666,1140.31,30449.77,192753.71,,11067026.0,6.1000000000000005
lisboa,4T2023,2023,4,2023-10-01,3866.0,19.066666666666666,8.259975659768276,0.009838920330866197,0.020321984692531103,34126.0,7174277.0,173.87088910761483,150.81815068114773,3.966666666666667,853.13,31302.9,192753.71,,11067026.0,6.6000000000000005
lisboa,1T2024,2024,1,2024-01-01,3981.3333333333335,19.633333333333336,8.289372050550917,0.029832729780996825,0.04506081021961683,33077.0,6730533.0,168.28967248471187,146.18214763172722,3.813333333333333,664.25,31967.15,201383.75,,11295785.0,6.800000000000001
lisboa,2T2024,2024,2,2024-04-01,4061.0,19.8,8.309184527686298,0.02001004688546537,0.054896527837908105,37125.0,7876682.0,175.47327047702692,164.072081229491,3.8699999999999997,863.79,32830.94,201383.75,,11295785.0,6.2
lisboa,3T2024,2024,3,2024-07-01,4149.0,19.900000000000002,8.330622620332868,0.02166953952228523,0.08376142794949937,40909.0,9052016.0,183.003994750677,180.7952800274006,3.6733333333333333,962.02,33792.96,201383.75,,11295785.0,6.2
lisboa,4T2024,2024,4,2024-10-01,4218.666666666667,19.933333333333334,8.347274401339325,0.01679119466538137,0.09122262459044661,45214.0,10173942.0,186.10174614443363,199.8210122750224,3.41,1048.07,34841.03,201383.75,,11295785.0,6.7
lisboa,1T2025,2025,1,2025-01-01,4160.666666666667,20.133333333333336,8.33343059682588,-0.013748419721871019,0.04504353650368387,41358.0,9617638.0,192.3282226547581,182.77961307715256,3.4499999999999997,968.9,35809.93,213730.82,,11405627.0,6.6000000000000005
madeira,1T2015,2015,1,2015-01-01,1163.3333333333333,5.15,7.059044726528363,,,21762.0,2662680.0,101.19388995618124,96.176070887978,,319.12,12554.79,125514.7,0.7000000000000001,10381838.0,16.5
madeira,2T2015,2015,2,2015-04-01,1171.0,5.0,7.065613363597717,0.0065902578796561695,,20614.0,2509888.0,100.69923957118108,91.10254228861218,,297.14,12851.93,125514.7,0.8333333333333334,10381838.0,14.2
madeira,3T2015,2015,3,2015-07-01,1224.3333333333333,4.966666666666666,7.110151757151558,0.04554511813265005,,22928.0,2697752.0,97.31280042246271,101.32914958733386,,319.68,13171.62,125514.7,1.1333333333333335,10381838.0,15.5
madeira,4T2015,2015,4,2015-10-01,1144.3333333333333,5.0,7.042577504789582,-0.06534168254832562,,25205.0,3071762.0,100.79407005017497,111.39223723607596,,405.34,13576.96,125514.7,1.2000000000000002,10381838.0,15.3
madeira,1T2016,2016,1,2016-01-01,1147.0,5.233333333333333,7.044905117129371,0.002330323332362383,-0.014040114613180443,24926.0,3001077.0,99.57691524589762,110.1592106862301,,434.9,14011.86,127838.92,1.3666666666666665,10356516.0,14.9
