district,quarter,price_sqm_sale,log_price,price_growth_qoq,price_growth_yoy,transaction_count,transaction_value_thousands,avg_transaction_value,value_index,volume_index,mortgage_rate_fixed,fdi_real_estate_transactions_meur
braganca,2022Q1,775.3333333333334,6.6532930444105,0.006469722804228972,0.0012906003082004958,43544,8081797,185600.70273746096,153.50189341648706,192.44053077594492,2.3266666666666667,615.95
braganca,2022Q2,787.3333333333334,6.668651708089198,0.01535866367869776,0.04991272457197837,43607,8287705,190054.4637328869,157.1853964180325,192.71895612591013,2.98,1047.15
braganca,2022Q3,815.0,6.703188113240863,0.03453640515166523,0.08400419089539035,42223,8051492,190689.7188735997,157.71078703058802,186.6024373266747,3.2266666666666666,738.85
braganca,2022Q4,863.3333333333334,6.760800866025474,0.05761275278461131,0.11397754441920327,38526,7362219,191097.41473290764,158.04797371910158,170.26373067871702,3.9066666666666667,762.23
braganca,2023Q1,862.6666666666666,6.760028366952682,-0.0007724990727924208,0.10673532254218188,34493,6857332,198803.58333574928,164.42139501587408,152.440088830945,4.003333333333333,850.7
braganca,2023Q2,877.0,6.776506992372183,0.01647862541950129,0.10785528428298541,33624,6904628,205348.20366404948,169.83415260390527,148.59958678142505,4.073333333333333,1030.38
braganca,2023Q3,858.6666666666666,6.755380798556135,-0.0211261938160483,0.05219268531527188,34256,7072380,206456.67912190565,170.75092220163313,151.39267918107592,3.9966666666666666,1140.31
braganca,2023Q4,870.3333333333334,6.768876280031019,0.013495481474884663,0.008075414005545234,34126,7174277,210229.0628846041,173.87088910761483,150.81815068114773,3.966666666666667,853.13
braganca,2024Q1,868.3333333333334,6.766575665519357,-0.002300614511661969,0.0065472985666756855,33077,6730533,203480.7570214953,168.28967248471187,146.18214763172722,3.813333333333333,664.25
braganca,2024Q2,882.0,6.782192056006791,0.015616390487434018,0.005685063634608412,37125,7876682,212166.5185185185,175.47327047702692,164.072081229491,3.8699999999999997,863.79
braganca,2024Q3,900.0,6.802394763324311,0.020202707317519497,0.04701396476817621,40909,9052016,221271.99393776432,183.003994750677,180.7952800274006,3.6733333333333333,962.02
braganca,2024Q4,927.3333333333334,6.832313083815278,0.02991832049096743,0.06343680378425898,45214,10173942,225017.51669836772,186.10174614443363,199.8210122750224,3.41,1048.07
braganca,2025Q1,904.3333333333334,6.807198023990822,-0.025115059824456054,0.04062235847146489,41358,9617638,232546.01286329125,192.3282226547581,182.77961307715256,3.4499999999999997,968.9
castelo-branco,2015Q1,738.3333333333334,6.604395393811126,,,21762,2662680,122354.5629997243,101.19388995618124,96.176070887978,,319.12
castelo-branco,2015Q2,733.3333333333334,6.597600350678298,-0.0067950431328283045,,20614,2509888,121756.47618123604,100.69923957118108,91.10254228861218,,297.14
castelo-branco,2015Q3,733.3333333333334,6.597600350678298,0.0,,22928,2697752,117661.89811584089,97.31280042246271,101.32914958733386,,319.68
castelo-branco,2015Q4,721.0,6.580639137284949,-0.01696121339334855,,25205,3071762,121871.13667923032,100.79407005017497,111.39223723607596,,405.34
castelo-branco,2016Q1,685.0,6.529418838262226,-0.051220299022723736,-0.07497655554890059,24926,3001077,120399.46240872984,99.57691524589762,110.1592106862301,,434.9
castelo-branco,2016Q2,679.0,6.520621127558696,-0.008797710703529305,-0.07697922311960159,26890,3267885,121527.89140944587,100.5101875107177,118.83901048514512,,401.38
castelo-branco,2016Q3,699.6666666666666,6.550604031152523,0.029982903593826826,-0.046996319525774766,26675,3173236,118959.17525773196,98.38571929954205,117.8888287352639,,331.47
castelo-branco,2016Q4,683.3333333333334,6.526982783464344,-0.023621247688178748,-0.05365635382060496,28999,3551512,122470.15414324631,101.2894901297318,128.15963053398005,,408.85
castelo-branco,2017Q1,677.6666666666666,6.518655524960237,-0.008327258504107427,-0.010763313301988653,29975,3800102,126775.7130942452,104.85042196590872,132.4730137334409,,489.78
castelo-branco,2017Q2,681.0,6.523562306149512,0.004906781189275122,0.002941178590815774,31197,4021419,128904.02923358016,106.61065537213086,137.8735816327658,,370.69
